Id,PostId,IsAnonymous,VoteTypeId,CreationDate
"1","125319","False","2","2011-07-15 07:02:01"
"2","2318935","True","2","2011-07-15 07:02:13"
"3","6701480","True","2","2011-07-15 07:02:14"
"4","6701448","True","2","2011-07-15 07:02:32"
"5","3129600","True","2","2011-07-15 07:02:53"
"7","3113813","False","2","2011-07-15 07:02:54"
"8","1544268","True","2","2011-07-15 07:03:01"
"9","2804411","False","2","2011-07-15 07:03:04"
"10","165829","True","2","2011-07-15 07:03:38"
"11","991120","True","2","2011-07-15 07:03:50"
"12","98791","True","3","2011-07-15 07:04:08"
"13","3933266","True","2","2011-07-15 07:04:11"
"14","3923221","True","2","2011-07-15 07:04:18"
"15","2968254","True","2","2011-07-15 07:04:38"
"16","3952388","True","2","2011-07-15 07:04:39"
"17","323014","True","2","2011-07-15 07:04:44"
"18","5494825","True","2","2011-07-15 07:04:51"
"19","2154857","True","3","2011-07-15 07:04:51"
"20","70586","True","2","2011-07-15 07:04:53"
"21","79022","True","2","2011-07-15 07:04:56"
"22","2052063","True","3","2011-07-15 07:05:04"
"23","1324014","True","2","2011-07-15 07:05:24"
"24","6268080","True","2","2011-07-15 07:05:28"
"25","4044957","False","2","2011-07-15 07:05:44"
"26","125330","False","3","2011-07-15 07:05:45"
"28","1587432","True","2","2011-07-15 07:05:54"
"29","3058164","True","2","2011-07-15 07:06:00"
"30","271897","True","3","2011-07-15 07:06:17"
"31","6415448","True","2","2011-07-15 07:06:25"
"32","366882","True","3","2011-07-15 07:06:28"
"34","2764244","True","3","2011-07-15 07:07:04"
"35","5825685","False","2","2011-07-15 07:07:09"
"36","1679213","True","2","2011-07-15 07:07:15"
"37","5415585","True","2","2011-07-15 07:07:18"
"38","5644908","True","2","2011-07-15 07:07:18"
"39","6703666","False","2","2011-07-15 07:07:23"
"40","5090321","False","2","2011-07-15 07:07:25"
"41","6703579","False","2","2011-07-15 07:07:41"
"42","1584962","True","2","2011-07-15 07:07:46"
"45","1218245","True","2","2011-07-15 07:08:09"
"46","2051262","True","2","2011-07-15 07:08:29"
"47","226320","True","2","2011-07-15 07:08:30"
"48","6702854","True","2","2011-07-15 07:08:32"
"49","6694465","False","2","2011-07-15 07:08:35"
"50","2927771","True","2","2011-07-15 07:08:40"
"51","5415644","True","2","2011-07-15 07:08:42"
"52","105076","True","2","2011-07-15 07:08:44"
